Add|| Speed0.1432548; Full 1.489902; smell4.602376
Add|| Speed0.0898838; Full 4.412002; smell2.788803
Add|| Speed0.04678849; Full 1.105177; smell8.384112
Add|| Speed0.1847105; Full 0.5831338; smell2.090281
Add|| Speed0.09263489; Full 2.49428; smell4.918265
Add|| Speed0.1415114; Full 0.6779758; smell2.386527
Add|| Speed0.2542721; Full 1.632973; smell7.217701
Add|| Speed0.1054779; Full 0.8553951; smell5.277088
Add|| Speed0.3100469; Full 0.9203636; smell3.255535
Add|| Speed0.3139573; Full 1.285457; smell5.556602
Add|| Speed0.01529046; Full 0.5190948; smell1.337845
Add|| Speed0.4495242; Full 1.422309; smell1.650198
Add|| Speed0.07474209; Full 0.5384075; smell5.103667
Add|| Speed0.02334184; Full 0.481016; smell1.54532
Add|| Speed0.3348947; Full 0.6214343; smell3.848177
Add|| Speed0.2511595; Full 0.9985346; smell2.266437
Add|| Speed0.01808713; Full 0.4486245; smell1.201308
Add|| Speed0.07693541; Full 0.8315022; smell6.148016
Add|| Speed0.213531; Full 0.3724003; smell5.229428
Add|| Speed0.1080477; Full 0.5433855; smell3.364474
Add|| Speed0.08668461; Full 0.9626793; smell3.291806
Add|| Speed0.5922333; Full 0.7522735; smell2.182864
Add|| Speed0.3408741; Full 0.6529167; smell4.769289
Add|| Speed0.1189814; Full 0.5817251; smell2.435848
Add|| Speed0.05233143; Full 0.5255436; smell7.987526
Add|| Speed0.1865018; Full 0.3907999; smell2.905219
Add|| Speed0.08537906; Full 0.5956264; smell4.800318
Add|| Speed0.1559692; Full 0.5998031; smell3.365312
Add|| Speed0.1198684; Full 1.047265; smell6.873164
Add|| Speed0.03438673; Full 2.779705; smell4.424212
Add|| Speed0.1202821; Full 0.5011278; smell7.170267
Add|| Speed0.101613; Full 0.2559031; smell3.290327
Add|| Speed0.09025449; Full 2.082194; smell2.52356
Add|| Speed0.2299686; Full 0.6046485; smell1.494471
Add|| Speed0.09462112; Full 0.8262862; smell4.95707
Add|| Speed0.1960772; Full 0.3238361; smell4.641455
Add|| Speed0.08650121; Full 1.112308; smell6.413421
Add|| Speed0.05426757; Full 1.450769; smell2.461069
Add|| Speed0.100705; Full 0.2247171; smell6.521678
Add|| Speed0.1364423; Full 0.545086; smell3.056301
Add|| Speed0.09506997; Full 0.3292052; smell3.448724
Add|| Speed0.1544702; Full 0.8676981; smell1.292434
Add|| Speed0.2480528; Full 0.3630689; smell6.039855
Add|| Speed0.1686773; Full 0.3856435; smell8.885852
Add|| Speed0.1940669; Full 0.2311802; smell1.877375
Add|| Speed0.0608086; Full 0.805589; smell1.716684
Add|| Speed0.08752628; Full 0.2127651; smell9.547388
Add|| Speed0.09232558; Full 0.7070487; smell4.955277
Add|| Speed0.2598816; Full 1.182758; smell5.124733
Add|| Speed0.2949445; Full 0.8351271; smell2.852544
Add|| Speed0.1053442; Full 0.5455176; smell5.087108
Add|| Speed0.1126835; Full 0.4358479; smell4.295759
Add|| Speed0.04329134; Full 0.9816167; smell3.705426
Add|| Speed0.0747711; Full 0.5441356; smell6.641167
Add|| Speed0.2532744; Full 0.8355321; smell8.297493
Add|| Speed0.05448933; Full 0.8791117; smell6.624943
Add|| Speed0.2146867; Full 1.288809; smell5.639929
Add|| Speed0.1149623; Full 0.8358734; smell4.814252
Add|| Speed0.1077272; Full 0.4898364; smell0.7877629
Add|| Speed0.1218013; Full 0.5660582; smell2.851087
Add|| Speed0.08904882; Full 1.020247; smell8.279555
Add|| Speed0.2080395; Full 0.4042801; smell5.158186
Add|| Speed0.03729955; Full 0.5129785; smell6.618382
Add|| Speed0.1468231; Full 0.5144351; smell1.0597
Add|| Speed0.05884629; Full 1.685605; smell5.943345
Add|| Speed0.1000545; Full 0.9441571; smell3.89444
Add|| Speed0.1016965; Full 0.6086993; smell2.845532
Add|| Speed0.09086406; Full 0.2138612; smell2.833789
Add|| Speed0.06007095; Full 5.69058; smell5.024216
Add|| Speed0.1717187; Full 0.8513131; smell3.497604
Add|| Speed0.06972573; Full 0.3718242; smell5.169522
Add|| Speed0.1123821; Full 2.081284; smell2.882266
Add|| Speed0.07602109; Full 0.425305; smell3.528374
Add|| Speed0.1974829; Full 0.373585; smell1.725053
Add|| Speed0.1062653; Full 0.658619; smell2.319967
Add|| Speed0.1284364; Full 0.2686073; smell1.986778
Add|| Speed0.2923011; Full 0.9176296; smell3.495666
Add|| Speed0.1132221; Full 1.115851; smell3.162897
Add|| Speed0.0649377; Full 0.3708426; smell3.812375
Add|| Speed0.1978209; Full 0.7503458; smell6.456156
Add|| Speed0.09240282; Full 0.1242753; smell2.685148
Add|| Speed0.06459852; Full 0.483256; smell7.215674
Add|| Speed0.07525074; Full 0.3920408; smell1.513689
Add|| Speed0.06838715; Full 0.1688712; smell1.604283
Add|| Speed0.1510326; Full 0.4891528; smell2.873824
Add|| Speed0.1214909; Full 0.7466809; smell7.217753
Add|| Speed0.231703; Full 0.4177054; smell1.737927
Add|| Speed0.01958189; Full 0.3450857; smell1.585958
Add|| Speed0.06506141; Full 0.3447846; smell4.517105
Add|| Speed0.1467344; Full 0.9300262; smell4.013639
Add|| Speed0.1409465; Full 0.8250816; smell3.883276
Add|| Speed0.04440536; Full 0.06487338; smell1.890088
Add|| Speed0.1809371; Full 0.6763041; smell3.542323
Add|| Speed0.05411749; Full 1.279847; smell3.543667
Add|| Speed0.1680237; Full 0.3347699; smell3.774521
Add|| Speed0.1829071; Full 0.8651162; smell4.26895
Add|| Speed0.1652509; Full 1.065669; smell5.866521
Add|| Speed0.2656429; Full 0.5590239; smell2.345215
Add|| Speed0.02222583; Full 0.472339; smell2.250356
Add|| Speed0.1627472; Full 0.6737573; smell9.351873
Add|| Speed0.04830182; Full 0.2852216; smell4.504515
Add|| Speed0.1794505; Full 0.4101138; smell4.143514
Add|| Speed0.1975909; Full 0.4983287; smell6.250893
Add|| Speed0.3719533; Full 0.3047824; smell1.241656
Add|| Speed0.01384046; Full 0.3555728; smell0.9465909
Add|| Speed0.02626122; Full 0.4578663; smell5.129581
Add|| Speed0.04795745; Full 0.06355561; smell2.549262
Remove|| Speed0.3932895; Full 0.715488; smell3.534244
Remove|| Speed0.5502008; Full 0.4882171; smell2.993234
Add|| Speed0.1232874; Full 0.8695939; smell2.466385
Add|| Speed0.1161305; Full 0.4918389; smell6.266433
Add|| Speed0.08160907; Full 0.1698431; smell5.536598
Add|| Speed0.1149431; Full 0.1344846; smell10.01933
Add|| Speed0.1191264; Full 0.5536944; smell2.089635
Add|| Speed0.2536966; Full 0.7487905; smell2.335461
Add|| Speed0.1549317; Full 0.1745156; smell4.28361
Add|| Speed0.05200466; Full 0.1520734; smell5.534382
Add|| Speed0.324314; Full 0.3077181; smell1.681724
Add|| Speed0.09559096; Full 0.5884116; smell7.989775
Add|| Speed0.2214115; Full 1.183391; smell6.614455
Add|| Speed0.1180927; Full 0.1905989; smell8.270218
Add|| Speed0.2827821; Full 0.6430452; smell1.345069
Add|| Speed0.05136282; Full 0.1358096; smell8.978159
Add|| Speed0.1728329; Full 0.89588; smell8.098596
Add|| Speed0.02837738; Full 1.062161; smell4.022619
Add|| Speed0.09138165; Full 0.2622663; smell3.404386
Add|| Speed0.03587158; Full 0.165778; smell5.892747
Add|| Speed0.07814236; Full 0.1393103; smell14.57583
Add|| Speed0.08351341; Full 0.1138392; smell4.527986
Add|| Speed0.09409986; Full 0.1044114; smell8.008505
Add|| Speed0.1429983; Full 0.9996447; smell5.832104
Add|| Speed0.02771293; Full 0.4805117; smell0.8008777
Add|| Speed0.04284738; Full 0.1514765; smell8.337771
Add|| Speed0.3644791; Full 0.3503079; smell3.737779
Add|| Speed0.1405314; Full 0.14338; smell4.835208
Add|| Speed0.1114482; Full 0.1185235; smell7.224267
Add|| Speed0.03960542; Full 0.1137143; smell13.76142
Add|| Speed0.01897671; Full 0.1563344; smell6.909162
Add|| Speed0.05731312; Full 0.8116331; smell5.643211
Add|| Speed0.06244319; Full 0.1384908; smell4.296816
Add|| Speed0.1553601; Full 0.3676694; smell1.961962
Add|| Speed0.04285377; Full 0.07996214; smell12.88062
Add|| Speed0.04999696; Full 0.2269444; smell7.249982
Add|| Speed0.04889032; Full 0.1109867; smell18.88206
Add|| Speed0.05463728; Full 0.08382391; smell5.972832
Add|| Speed0.1791991; Full 0.08932622; smell5.419377
Add|| Speed0.02073464; Full 0.4487885; smell0.6060708
Add|| Speed0.09784944; Full 0.27719; smell4.98991
Add|| Speed0.0958437; Full 1.463923; smell2.175451
Add|| Speed0.1336332; Full 0.6705029; smell9.707443
Add|| Speed0.03174272; Full 0.435636; smell0.978451
Add|| Speed0.4851608; Full 0.261723; smell5.291256
