Creature ID,Birth Time,Death Time,Life Time,Generation,Speed,Smell Radius,Full,Angle Change
92,8808,8835,27,13,0.1215305,3.458275,1.159094,0.3059328
93,8809,8991,182,8,0.008664981,3.523392,1.248826,0.1519048
94,8809,8855,46,12,0.02774543,6.73307,0.6935796,0.1701855
95,8812,8850,38,13,0.09178183,3.189885,1.401096,0.3299418
96,8814,8859,45,14,0.07812159,1.731131,1.430514,0.1957166
97,8816,8882,66,10,0.06146779,4.850617,1.763688,0.2171755
98,8818,8863,45,11,0.04257733,4.379933,1.038346,0.3136189
99,8819,9005,186,4,0.0212771,1.017351,4.301539,0.4949562
100,8819,8891,72,11,0.01694399,2.159861,0.9425288,0.1066145
101,8821,8883,62,11,0.07519163,2.889777,2.330173,0.1967206
102,8824,9014,190,11,0.01389252,4.158486,1.169557,0.1411659
103,8825,8857,32,8,0.06556473,1.592099,1.154494,0.1677669
104,8827,9010,183,13,0.07690465,6.072195,1.2103,0.2783392
105,8829,8954,125,10,0.2114017,4.981316,2.307154,0.2196041
106,8830,9187,357,9,0.08721095,2.752439,3.101577,0.1509376
107,8830,8869,39,12,0.04689484,6.679925,1.05643,0.2025554
108,8833,8856,23,14,0.0613641,6.374429,1.204108,0.3539591
109,8835,9239,404,15,0.1146657,1.755311,2.096743,0.1502678
110,8837,8877,40,13,0.08929942,8.029826,1.401174,0.235135
111,8847,9015,168,9,0.02657821,1.536985,2.523445,0.1647539
112,8853,9034,181,7,0.01261181,4.837137,1.679572,0.1790918
113,8854,8889,35,11,0.1444555,6.846014,1.499446,0.1809721
114,8858,8909,51,11,0.09366505,5.333921,1.722425,0.2333865
115,8858,8915,57,11,0.02022403,2.727553,0.6911526,0.188884
116,8859,8959,100,13,0.0564317,3.40734,1.382715,0.1645177
117,8862,8938,76,16,0.1224263,1.820024,1.522354,0.08419367
118,8862,8886,24,12,0.1757121,3.945927,1.521783,0.1198195
119,8863,9064,201,8,0.08994652,2.753586,1.847378,0.2452417
120,8863,8937,74,9,0.1178393,2.82321,1.873485,0.1276259
121,8864,8889,25,10,0.08295075,5.848832,1.247992,0.2131117
122,8864,8957,93,12,0.1055707,5.720285,1.729187,0.2936321
123,8865,8889,24,17,0.1207821,2.639176,1.146468,0.08626986
124,8874,8886,12,13,0.1654162,5.833536,1.54684,0.07442281
125,8876,9372,496,10,0.1457815,2.281939,4.6133,0.203565
126,8877,8888,11,18,0.2452085,1.804114,0.6875846,0.07669692
127,8878,9020,142,13,0.1408221,7.306909,1.871074,0.3458829
128,8879,8910,31,11,0.08782748,7.277742,2.637638,0.1607754
129,8882,9006,124,8,0.01544635,6.276925,1.822512,0.1225626
130,8883,8890,7,19,0.1795324,1.295538,0.6417742,0.09321559
131,8884,8910,26,9,0.0803798,3.924012,2.084771,0.1599144
132,8885,8961,76,14,0.05097664,4.68105,1.120836,0.12277
133,8886,8894,8,17,0.2438677,1.278786,1.104016,0.06720525
134,8886,8913,27,10,0.07556821,3.659627,1.300063,0.08430147
135,8888,8943,55,12,0.0350909,4.893785,2.317389,0.3454558
136,8890,9047,157,14,0.06117909,5.157407,1.765198,0.3647666
137,8891,8997,106,14,0.07820563,5.312585,2.711807,0.4686631
138,8894,9035,141,12,0.01175779,2.839381,0.8936155,0.1403523
139,8894,8977,83,16,0.1394061,1.62736,2.776851,0.08984442
140,8895,9067,172,11,0.01814431,2.844826,1.214598,0.1143713
141,8896,8930,34,13,0.09001972,4.126429,0.9661976,0.2238354
142,8897,8923,26,14,0.06993605,4.839395,0.8931882,0.2078268
143,8900,9020,120,15,0.05402753,4.534453,1.320957,0.1209328
144,8903,8941,38,15,0.1286491,6.089481,0.9000714,0.1778408
145,8904,8926,22,14,0.05989843,3.64867,1.213575,0.1333435
146,8906,8924,18,16,0.09074804,6.156859,0.7054944,0.1905314
147,8907,9342,435,11,0.1604103,6.862521,2.240398,0.179615
148,8907,8948,41,17,0.1344377,2.587283,0.9450977,0.05163422
149,8911,8987,76,7,0.06432351,1.921032,2.059544,0.1425905
150,8913,8970,57,16,0.02585602,5.616365,1.585258,0.1179435
151,8915,8966,51,15,0.02843198,4.69505,1.332337,0.1010452
152,8915,8929,14,16,0.1548969,8.519171,0.8004427,0.2371714
153,8916,8989,73,10,0.08656894,3.243309,1.594559,0.1648094
154,8917,9176,259,9,0.05727166,1.314922,2.762343,0.1060119
155,8917,8940,23,13,0.1084688,2.957687,1.062143,0.4136927
156,8918,8931,13,14,0.08124749,5.767653,1.261298,0.1150305
157,8918,9008,90,12,0.1303758,8.775831,1.757407,0.1481766
158,8918,8927,9,18,0.1415669,1.879308,0.8938667,0.03205678
159,8919,8937,18,10,0.1519212,1.705969,1.185572,0.1199876
160,8920,8953,33,17,0.08294789,11.13414,0.9269777,0.3486735
161,8920,9195,275,11,0.1175515,2.011673,1.778589,0.1386194
162,8921,8944,23,14,0.07192997,5.323709,1.081787,0.1973842
163,8923,8964,41,16,0.0757052,7.047641,0.8011196,0.2504237
164,8924,8938,14,14,0.1649743,1.739755,0.7197943,0.2738964
165,8925,8976,51,17,0.1401854,1.226455,3.596153,0.04981976
166,8925,8958,33,18,0.05654176,10.1939,1.112865,0.5182341
167,8925,8935,10,15,0.2112425,1.478196,0.7801199,0.3289227
168,8926,8995,69,8,0.09925559,1.025974,1.541447,0.1251883
169,8926,8956,30,11,0.165595,2.357606,1.098819,0.1393797
170,8927,8946,19,14,0.05082015,3.330411,0.8481801,0.186006
171,8928,8961,33,15,0.0268039,2.592314,0.678703,0.1094161
172,8929,9008,79,19,0.108244,13.47198,1.297037,0.5306388
173,8929,8939,10,16,0.1343748,1.545229,0.4535589,0.3911461
174,8929,8948,19,9,0.05916933,1.477572,0.8261569,0.1611178
175,8929,8950,21,12,0.1326414,2.567122,0.8363236,0.124565
176,8930,9208,278,9,0.03596622,3.435083,2.647871,0.1227497
177,8930,8997,67,10,0.02590095,1.898241,1.224262,0.2109891
178,8931,9085,154,10,0.04251076,1.998878,2.071958,0.2163326
179,8931,8937,6,15,0.2063268,1.357415,1.065851,0.3486975
180,8932,8938,6,16,0.2180026,7.043039,0.91951,0.2076523
181,8932,8939,7,17,0.1200659,1.371324,0.357741,0.2725766
182,8933,9018,85,14,0.04943231,9.842554,2.789828,0.2963148
183,8933,8937,4,17,0.1918854,0.9859026,0.3513227,0.4475503
184,8933,8938,5,18,0.08244682,1.260038,0.2075625,0.3127255
185,8934,8949,15,14,0.09315799,6.864563,1.537901,0.3398744
186,8934,8938,4,19,0.11046,1.7417,0.2811607,0.2383527
187,8936,8954,18,17,0.06483506,6.323809,1.033434,0.2600299
188,8937,8960,23,13,0.07995517,3.675062,0.8939555,0.1972229
189,8937,8990,53,15,0.0318634,3.07523,1.160848,0.1679427
190,8938,8964,26,12,0.1067193,9.601445,1.879693,0.1334054
191,8938,8944,6,18,0.2460607,2.47535,0.908054,0.04117823
192,8938,8956,18,18,0.06901854,14.96406,0.6206137,0.4814355
193,8938,8974,36,14,0.04825506,2.638992,1.088511,0.2563901
194,8940,8950,10,11,0.3074701,6.828015,3.146906,0.2855664
195,8940,8979,39,11,0.05631649,1.660103,1.262501,0.09456201
196,8941,9131,190,8,0.04866837,1.926776,1.373668,0.1657713
197,8941,8952,11,13,0.1042243,2.264811,1.055484,0.1147665
198,8942,9044,102,16,0.01772546,4.237475,1.484508,0.2381541
199,8943,9009,66,14,0.04447605,4.933128,0.9642797,0.2675101
200,8945,8975,30,13,0.08157133,7.569617,1.442458,0.1017586
201,8946,9067,121,11,0.0107257,1.284506,1.341508,0.2411287
202,8946,9228,282,17,0.009222037,4.857088,0.8825685,0.1784938
203,8947,9067,120,8,0.06655516,1.614797,2.076371,0.1009668
204,8947,8961,14,12,0.1551388,3.255993,1.051134,0.1427485
205,8947,9101,154,15,0.07579486,3.719538,1.352714,0.3653576
206,8948,8970,22,17,0.05209994,7.263738,1.181923,0.2669177
207,8948,9016,68,11,0.0339495,2.764608,2.356529,0.1893197
208,8949,8989,40,16,0.05563552,5.136789,0.9825925,0.1380335
209,8949,8988,39,13,0.05698094,8.209562,1.311923,0.09254763
210,8952,8968,16,13,0.1581556,3.907966,0.580579,0.09394915
211,8954,9009,55,9,0.02832156,1.535316,0.8855443,0.1046228
212,8954,8969,15,14,0.120885,10.82176,1.208561,0.1412534
213,8957,9017,60,11,0.04502823,6.113049,1.349596,0.1151688
214,8958,9028,70,17,0.03505467,4.738307,0.9187712,0.1466634
215,8960,8973,13,14,0.082194,3.584369,0.6674873,0.1325197
216,8961,9158,197,12,0.07346042,8.975533,2.274542,0.1139346
217,8962,9001,39,15,0.05187358,7.202364,0.9855532,0.191461
218,8963,9288,325,14,0.04290478,5.723905,1.671832,0.3658497
219,8963,9013,50,14,0.0961958,4.997628,1.096267,0.230809
220,8967,9091,124,11,0.1555341,1.895345,2.775403,0.2668294
221,8967,8974,7,20,0.1682572,7.307066,0.6586709,0.3197542
222,8968,8975,7,21,0.140947,6.293178,0.5673667,0.388576
223,8969,9062,93,12,0.0955676,1.966115,1.621332,0.117916
224,8971,8989,18,16,0.05471018,2.464572,0.7026465,0.2100969
225,8972,9027,55,12,0.09582288,2.026943,2.299216,0.2402276
226,8972,8989,17,17,0.05410696,2.013961,0.7576302,0.1737102
227,8973,9019,46,12,0.04286302,7.650756,1.376148,0.0689186
228,8974,9036,62,13,0.1025207,8.421005,2.209185,0.1146925
229,8976,9482,506,15,0.1000862,7.354358,2.119089,0.4959279
230,8976,8995,19,16,0.03621345,9.305721,0.5406004,0.1405441
231,8977,8987,10,17,0.07179648,11.00532,0.6140853,0.0988654
232,8978,9018,40,9,0.1690135,1.097482,1.738178,0.1182887
233,8978,9009,31,9,0.06799365,0.7241976,0.8289512,0.1124675
234,8978,8988,10,15,0.1470369,2.630867,1.371543,0.1553633
235,8979,9052,73,9,0.08596464,1.008249,3.00212,0.1122587
236,8980,8995,15,15,0.04787443,6.77406,0.4866024,0.3714275
237,8981,9202,221,13,0.09091149,13.31855,1.617625,0.128293
238,8981,9011,30,16,0.01996138,5.290881,0.5748863,0.4373958
239,8982,9000,18,10,0.2384218,1.42398,1.491785,0.1046146
240,8984,9016,32,10,0.05254206,1.066975,0.7836199,0.1615405
241,8990,9037,47,13,0.1711445,6.213363,2.409065,0.1512372
242,8991,9029,38,11,0.07113108,3.104386,1.540369,0.2603505
243,8991,8997,6,11,0.446624,1.186123,1.630558,0.1262664
244,8992,9125,133,10,0.03953508,1.707353,2.616859,0.07170315
245,8992,9014,22,18,0.06030237,5.189102,0.7229916,0.2151081
246,8994,9300,306,10,0.07821755,2.792049,2.334188,0.08743148
247,8994,9012,18,20,0.1988389,13.3435,0.8931825,0.7118616
248,8994,9104,110,14,0.1308548,9.341991,2.420078,0.1541569
249,8995,9109,114,9,0.07119614,4.003287,2.46014,0.2371902
250,8998,9291,293,9,0.05177712,1.46507,2.973367,0.1593019
251,8998,9012,14,13,0.1343642,1.52871,0.9625789,0.1755916
252,8999,9376,377,7,0.0209366,1.674267,3.480696,0.230348
