Time,Population,Average Speed,Average Full, Average Smell Distance, Angle Change 
118,2,0.008359412,12.0121,3.597137, 0.5243236
119,2,0.008359412,12.0121,3.597137, 0.5243236
120,2,0.008359412,12.0121,3.597137, 0.5243236
121,2,0.008359412,12.0121,3.597137, 0.5243236
122,2,0.008359412,12.0121,3.597137, 0.5243236
123,2,0.008359412,12.0121,3.597137, 0.5243236
124,2,0.008359412,12.0121,3.597137, 0.5243236
125,2,0.008359412,12.0121,3.597137, 0.5243236
126,2,0.008359412,12.0121,3.597137, 0.5243236
127,2,0.008359412,12.0121,3.597137, 0.5243236
128,2,0.008359412,12.0121,3.597137, 0.5243236
129,2,0.008359412,12.0121,3.597137, 0.5243236
130,2,0.008359412,12.0121,3.597137, 0.5243236
131,2,0.008359412,12.0121,3.597137, 0.5243236
132,2,0.008359412,12.0121,3.597137, 0.5243236
133,2,0.008359412,12.0121,3.597137, 0.5243236
134,2,0.008359412,12.0121,3.597137, 0.5243236
135,2,0.008359412,12.0121,3.597137, 0.5243236
136,2,0.008359412,12.0121,3.597137, 0.5243236
137,2,0.008359412,12.0121,3.597137, 0.5243236
138,2,0.008359412,12.0121,3.597137, 0.5243236
139,2,0.008359412,12.0121,3.597137, 0.5243236
140,2,0.008359412,12.0121,3.597137, 0.5243236
141,2,0.008359412,12.0121,3.597137, 0.5243236
142,2,0.008359412,12.0121,3.597137, 0.5243236
143,2,0.008359412,12.0121,3.597137, 0.5243236
144,2,0.008359412,12.0121,3.597137, 0.5243236
145,2,0.008359412,12.0121,3.597137, 0.5243236
146,2,0.008359412,12.0121,3.597137, 0.5243236
147,2,0.008359412,12.0121,3.597137, 0.5243236
148,2,0.008359412,12.0121,3.597137, 0.5243236
149,2,0.008359412,12.0121,3.597137, 0.5243236
150,2,0.008359412,12.0121,3.597137, 0.5243236
151,2,0.008359412,12.0121,3.597137, 0.5243236
152,2,0.008359412,12.0121,3.597137, 0.5243236
153,2,0.008359412,12.0121,3.597137, 0.5243236
154,2,0.008359412,12.0121,3.597137, 0.5243236
155,2,0.008359412,12.0121,3.597137, 0.5243236
156,2,0.008359412,12.0121,3.597137, 0.5243236
157,2,0.008359412,12.0121,3.597137, 0.5243236
158,2,0.008359412,12.0121,3.597137, 0.5243236
159,2,0.008359412,12.0121,3.597137, 0.5243236
160,2,0.008359412,12.0121,3.597137, 0.5243236
161,2,0.008359412,12.0121,3.597137, 0.5243236
162,2,0.008359412,12.0121,3.597137, 0.5243236
163,2,0.008359412,12.0121,3.597137, 0.5243236
164,2,0.008359412,12.0121,3.597137, 0.5243236
165,2,0.008359412,12.0121,3.597137, 0.5243236
166,2,0.008359412,12.0121,3.597137, 0.5243236
167,2,0.008359412,12.0121,3.597137, 0.5243236
168,2,0.008359412,12.0121,3.597137, 0.5243236
169,2,0.008359412,12.0121,3.597137, 0.5243236
170,2,0.008359412,12.0121,3.597137, 0.5243236
171,2,0.008359412,12.0121,3.597137, 0.5243236
172,2,0.008359412,12.0121,3.597137, 0.5243236
173,2,0.008359412,12.0121,3.597137, 0.5243236
174,2,0.008359412,12.0121,3.597137, 0.5243236
175,2,0.008359412,12.0121,3.597137, 0.5243236
176,2,0.008359412,12.0121,3.597137, 0.5243236
177,2,0.008359412,12.0121,3.597137, 0.5243236
178,2,0.008359412,12.0121,3.597137, 0.5243236
179,2,0.008359412,12.0121,3.597137, 0.5243236
180,2,0.008359412,12.0121,3.597137, 0.5243236
181,2,0.008359412,12.0121,3.597137, 0.5243236
182,2,0.008359412,12.0121,3.597137, 0.5243236
183,2,0.008359412,12.0121,3.597137, 0.5243236
184,2,0.008359412,12.0121,3.597137, 0.5243236
185,2,0.008359412,12.0121,3.597137, 0.5243236
186,2,0.008359412,12.0121,3.597137, 0.5243236
187,2,0.008359412,12.0121,3.597137, 0.5243236
188,2,0.008359412,12.0121,3.597137, 0.5243236
189,2,0.008359412,12.0121,3.597137, 0.5243236
190,2,0.008359412,12.0121,3.597137, 0.5243236
191,2,0.008359412,12.0121,3.597137, 0.5243236
192,2,0.008359412,12.0121,3.597137, 0.5243236
193,2,0.008359412,12.0121,3.597137, 0.5243236
194,2,0.008359412,12.0121,3.597137, 0.5243236
195,2,0.008359412,12.0121,3.597137, 0.5243236
196,2,0.008359412,12.0121,3.597137, 0.5243236
197,2,0.008359412,12.0121,3.597137, 0.5243236
198,2,0.008359412,12.0121,3.597137, 0.5243236
199,2,0.008359412,12.0121,3.597137, 0.5243236
200,2,0.008359412,12.0121,3.597137, 0.5243236
201,2,0.008359412,12.0121,3.597137, 0.5243236
202,2,0.008359412,12.0121,3.597137, 0.5243236
203,2,0.008359412,12.0121,3.597137, 0.5243236
204,2,0.008359412,12.0121,3.597137, 0.5243236
205,2,0.008359412,12.0121,3.597137, 0.5243236
206,2,0.008359412,12.0121,3.597137, 0.5243236
207,2,0.008359412,12.0121,3.597137, 0.5243236
208,2,0.008359412,12.0121,3.597137, 0.5243236
209,2,0.008359412,12.0121,3.597137, 0.5243236
210,2,0.008359412,12.0121,3.597137, 0.5243236
211,2,0.008359412,12.0121,3.597137, 0.5243236
212,2,0.008359412,12.0121,3.597137, 0.5243236
213,2,0.008359412,12.0121,3.597137, 0.5243236
214,2,0.008359412,12.0121,3.597137, 0.5243236
215,2,0.008359412,12.0121,3.597137, 0.5243236
216,2,0.008359412,12.0121,3.597137, 0.5243236
217,2,0.008359412,12.0121,3.597137, 0.5243236
218,2,0.008359412,12.0121,3.597137, 0.5243236
219,2,0.008359412,12.0121,3.597137, 0.5243236
220,2,0.008359412,12.0121,3.597137, 0.5243236
221,2,0.008359412,12.0121,3.597137, 0.5243236
222,2,0.008359412,12.0121,3.597137, 0.5243236
223,2,0.008359412,12.0121,3.597137, 0.5243236
224,2,0.008359412,12.0121,3.597137, 0.5243236
225,2,0.008359412,12.0121,3.597137, 0.5243236
226,2,0.008359412,12.0121,3.597137, 0.5243236
227,2,0.008359412,12.0121,3.597137, 0.5243236
228,2,0.008359412,12.0121,3.597137, 0.5243236
229,2,0.008359412,12.0121,3.597137, 0.5243236
230,2,0.008359412,12.0121,3.597137, 0.5243236
231,2,0.008359412,12.0121,3.597137, 0.5243236
232,2,0.008359412,12.0121,3.597137, 0.5243236
233,2,0.008359412,12.0121,3.597137, 0.5243236
234,2,0.008359412,12.0121,3.597137, 0.5243236
235,2,0.008359412,12.0121,3.597137, 0.5243236
236,2,0.008359412,12.0121,3.597137, 0.5243236
237,2,0.008359412,12.0121,3.597137, 0.5243236
238,2,0.008359412,12.0121,3.597137, 0.5243236
239,2,0.008359412,12.0121,3.597137, 0.5243236
240,2,0.008359412,12.0121,3.597137, 0.5243236
241,2,0.008359412,12.0121,3.597137, 0.5243236
