Creature ID,Birth Time,Death Time,Life Time,Generation,Speed,Smell Radius,Full,Angle Change
91,12456,12558,102,11,0.02149758,2.626855,1.224084,0.04177326
92,12462,12766,304,8,0.05062227,4.636812,11.71917,0.2724929
93,12479,12750,271,13,0.00623525,1.858499,1.786803,0.07434313
94,12483,12605,122,12,0.006613511,1.889249,0.7248852,0.05907962
95,12484,12665,181,13,0.004389033,1.997002,0.416512,0.0437787
96,12520,12796,276,10,0.01186069,1.403613,2.401309,0.1973366
97,12521,12789,268,10,0.04137706,1.499772,3.450804,0.1027905
98,12522,12758,236,11,0.01447027,2.863239,0.8214564,0.1095322
99,12546,12937,391,13,0.006331329,2.376881,0.8066996,0.138703
100,12549,12690,141,12,0.01510494,1.914196,1.093641,0.05781922
101,12554,12932,378,10,0.0152338,1.910773,1.441698,0.04634648
102,12555,12809,254,9,0.03195241,3.717549,1.373172,0.1610089
103,12560,12720,160,11,0.01946132,1.460097,1.573291,0.1370365
104,12566,15853,3287,3,0.008492257,4.123116,6.926869,0.5745489
105,12589,13012,423,13,0.005340986,2.000741,0.9330903,0.06220089
106,12595,12771,176,10,0.01064863,1.264513,1.350016,0.04195346
107,12596,12812,216,12,0.03087508,1.815105,1.534044,0.1382762
108,12605,12791,186,11,0.02535623,2.986618,1.303781,0.1365574
109,12605,12636,31,12,0.02462176,2.196464,0.6139504,0.08559461
110,12606,12628,22,13,0.03316534,2.802492,0.7243932,0.06396879
111,12610,13902,1292,7,0.03864103,5.166159,9.385529,0.5980963
112,12612,12983,371,13,0.007373122,2.874961,0.795527,0.106249
113,12612,12784,172,13,0.02211584,1.920741,2.036036,0.08902805
114,12617,15899,3282,4,0.02475802,8.770961,9.908234,0.7007182
115,12617,12721,104,11,0.01636328,1.898577,1.751024,0.1269561
116,12622,12769,147,8,0.02096217,4.90724,2.084364,0.8431476
117,12628,12739,111,11,0.01983805,1.190862,1.08133,0.05374052
118,12629,12713,84,14,0.01038217,4.265348,0.6096366,0.07202163
119,12630,12687,57,12,0.0277113,1.911607,1.937306,0.0924824
120,12630,12773,143,14,0.006009065,4.219218,0.5587209,0.1244477
